,text
60,ontsteking ogen met gele pus 
61,oog rood en traant
62,rode oog door een stukje gips hoe kan het behandelen 
63,rood geã rriteerd oog heeft mijn baby van 7 maanden
64,sinds 2 dagen is de geleelde dichtbij mijn neus van mijn oogwit blauw geworden aan allebei de ogen precies op de zelfde plek
65,sinds twee dagen doet mijn linkeroog licht pijn voornamelijk mijn traanbuis gisteren viel het nog mee en was deze een beetje rood en dik inmiddels heeft dit doorgezet en is ook bv het knipperen gevoelig geworden moet ik hier actie op ondernemen 
66,wanneer ik mijn hoofd recht houd maar ik kijk met mijn ogen zo fel naar opzij als ik kan heb ik steken boven mijn oogkassen in mijn hoofd en achter mijn oogkassen boven mijn oog hoe kan dit komen en wat moet ik doen 
67,als ik mijn ogen inspan of op iets reflekteren s tuur dan zie ik allemaal een soort van glasveseltjes dat gaat weer over als ik even rust neem wat kan dat zijn heb ik alleen bij lezen of knutselen verder niet
68,hallo ik heb ruim een jaar geleden een accute operatie voor netvliesloslating met bandje ondergaan nu heb ik het gevoel of er een vuiltje in mijn oog zit ik kan ook niet goed naar boven en naar rechts kijken dan word ik duizelig wie herken dit groetjes
69,hallo ik heb ruim een jaar geleden een accute operatie voor netvliesloslating met bandje ondergaan nu heb ik het gevoel of er een vuiltje in mijn oog zit ik kan ook niet goed naar boven en naar rechts kijken dan word ik duizelig wie herken dit groetjes ik had een vonkje van een sigarett in me oog gekregen nu prikt het en voelt het net of er heletijd een beesje in me oog zit gaat dit vanzelf over of moet ik naar de dokter toe 
70,hallo ik heb al een hele tijd last van troebelingen voor mijn oog nu heb ik naar de oogarts geweest en die stelde een vitrectomie voor hierbij verwijderen ze het glasvocht en plaatsen ze iets anders water olie of gas ik weet niet wat ik zou moeten doen heeft iemand hier ervaring mee 
71,ik ben een vrouw van 65 jaar en gisteren zag ik een poosje alles dubbel ik gebruik geen medicijnen 
72,takje in het oog gehad
73,28 jaar man ik heb sinds gisteren plekjes op mijn arm en het worden er steeds meer ook jeukt het wat kan het zijn img 20180701 wa0005 jpg
74,achter mij linker oor heb ik al ruim een week een grote blaas bobbel het is zacht en het lijkt wel of er vocht in zit het is pijnlijk als ik er op wil slapen of als ik het aanraak heeft iemand een idee wat het kan zijn en hoe of waardoor dit ontstaat vast bedankt 
75,achter mij linker oor heb ik al ruim een week een grote blaas bobbel het is zacht en het lijkt wel of er vocht in zit het is pijnlijk als ik er op wil slapen of als ik het aanraak heeft iemand een idee wat het kan zijn en hoe of waardoor dit ontstaat vast bedankt ik heb op mijn armen en in mn nek rode bultjes die heel erg jeuken ook ben ik ligt verbrand
76,beste persoon die dit leest altijd na het sporten krijg ik ontzettend veel jeuk bovenop mij hoofd dit heb ik echt alleen als ik sport door de dag verder geen last van jeuk iemand aub een oplossing het is erg vervelend en demotiveert mij om te gaan sporten mvg joey 
77,bruine vlekken op beide benen ben 78 jaar jong is dit een ouderdomsverschijnsel knipsel 1 jpg knipsel jpg
78,dag ik vraag me al 2 dagen af wat die rode bultjes zijn onder mijn clitoris ze doen pijn als je ze aanraakt en als ik plas kan iemand me aub helpen ik maak me echt zorgen
79,de laatste tijd zweet ik veel sneller en veel meer dan normaal terwijl ik nog steeds evenveel drink en eet als eerst ik eet niet hã ã l gezond maar ook niet hã ã l ongezond waar zou het mee te maken kunnen hebben 
80,eczeem op de hand met daarop ontstekingen met kleine blaasjes en bruine korstjes bij dokter geweest maar ondanks gebruik mometasonfuroaat nog niet verholpen 
81,eeen schilferige rode jeukende huid op oogleden en in het gezicht en de oren wat kan dit zijn 
82,extreme jeuk en branderigheid onder de voeten en binnenkant van de handen ook erg rood en warm gezicht hoe komt dit en wat kan ik er aan doen
83,gister kreeg ik een pijnlijk plekje boven mij bovenlip en nu is mijn bovenlip opgezet ik weet niet goed wat het is of wat ik er tegen zou kunnen doen marinda 14 jaar
84,goede avond sinds meer dan een maand heb ik hele zichtbare aders op mijn borsten tepelhoven en liezen en volgens de testen ben ik niet zwanger ik neem de pil altijd heel correct die aders zijn er nu al meer dan een maand en ik wil er graag van afâ kan ik er iets aan doen 
85,goedemorgen ik heb een vraag 2 maanden geleden had ik pijn in mijn borst dokter heeft rechter borst onderzocht kon niks afwijkends vinden nu heb ik al 2 of 3 dagen pijn in mijn rechter oksel tuurlijk kan dit wel eens maar ben nu gelijk bang dat het borstkanker is kan dit 
86,goedenavond ik had sindq kort een klein donkerkleurig blaasje in mijn liesstreek 1 a 2mm groot nu is dit door de wrijving open gesprongen en kwam er een combinatie van vocht en bloed uit ik vermoed dat dit gewoon een onschuldige bloedblaar is maar ik ben hier niet helemaal zekee van 
87,goedendag ik heb last van een droge eikel en kleine scheurtjes in de voorhuid ze zijn niet diep maar voelt heel irriterent aan is er iets wat ik kan doen om het te verhelpen zo der daarvoor naar een dokter te moeten 
88,goedendag mijn dochter van 9 heeft al 1 5 jaar water wratjes op haar rug ze zijn niet open en veranderen niet wat is hier aan te doen 
89,hallo ik heb nu sinds weekje enorm gevoelige tepels met lopen en liggen continu last ik heb wel veel spanningen gehad enzo ook heb ik borstimplantaten
90,ik vermijd de tandarts 
91,hallo ik heb sinds 2 weken geleden uitslag op mijn arm en weet niet wat het is ik kan er geen foto bij plakken ik werk in een bakkerij maar het is op mijn vrije dag gekomen en het word op de vrije dag erger kunt u mij helpen met vriendelijke groet marnix ten elsen
92,hallo allemaal ik heb sinds kort last van jeuk aan m n balkzak het is aan de linkeronderkant en soms jeukt het echt heel erg wat zou dit zijn 
93,hallo ik ben 14 jaar en het lijkt erop alsof mijn moedervlek er af is gevallen of is verandert hij heeft nooit gebloed maar wel soms een beetje gejeukt is dit erg 
94,hallo ik heb een paar dagen last van onderhuidse jeuk op me handen tussen mijn vingers en binnenkant van me hand waar het jeukt is het ook rood is er een crã me is ik kan gebruiken of moet ik zelf persoonlijk naar de huisarts gaan 
95,hallo de laatste tijd heb ik steeds als ik val of iets anders gebeurt en er ontstaat een wond dat de wond een blauwe plek word in plaats van wegtrekt ik heb er nu al 3 het is wat gevoeliger als normaal huid wat is er aan de hand mvg 
96,hallo ik heb al een geruime tijd zo n rood bobbeltje onder m n hoofdhuid weet iemand wat dit is ik dacht eerst aan een vetbobbeltje maar aangezien deze rood is neem ik aan dat het iets anders is 
97,hallo ik heb al ong een week een paar bultjes op me been dit is een cirkel en der omheen zitten dus bultjes het lijkt op een soort beet maar ben niet gebeten het jeukt soms ook heelerg wat kan dit zijn 
98,hallo ik heb een foto geupload van mijn probleem sinds vanochtend heb ik last van rode bultjes op mijn buik die af en toe jeuken ik heb een huisdier dus kunnen het vlooienbeten zijn of is het toch iets anders groet mariska
99,hallo ik heb sinds een paar dagen last van deze uitslag het zijn rode bultjes met een zwart puntje ze zitten in mij oksel en doen ook pijn
100,hallo op mijn handen heb ik puntjes op de vingers sommige zn meer bultjes op mijn handpalm heb ik ook plek dit lijkt ook wel op een soort uitslag sommige kan ik wegdrukken en andere niet het is gevoelig pijnlijk en jeukt en bij andere voel ik niks foto uploaden lukt niet 
101,hallo ik heb last van rimpelende nagels op mijn vingers nu blijkt dat ik een stof zou tekort komen maar diegene die mij dat vertelde weet niet wat het juist zou zijn kan iemand mij helpen dank u
102,hallo sinds kort heb ik onder de eikeldop maar op de penishuid een witte substantie dat vastgekleeft zit aan de huid ik heb al olijfolie geprobeerd het eraf spoelen onder de douche heeft ook geen succes als ik het eraf trek dan begint het te bloeden ik ben al besneden wie kan mij helpen 
103,hallo ik gebruik nu al n aantal maanden condilyne voor op mn genitale wratten maar sinds vanmorge zijn er ook nog ns ee 3 tal blaasjes bij gekomen hoe kan dit ik word hier echt gek van 
104,hallo ik heb al 10 jaar een tepelpiercing maar sinds een paar maanden komt er troep uit en stinkt wat kan ik hieraan doen 
105,hallo ik heb al enige tijd last van wondjes en een soort schimmel denk ik tussen mijn tenen het jeukt erg en is voornamelijk vervelend wat kan ik hier aan doen zie de foto s bedankt 
106,hallo ik heb al lange tijd last van wittige plekjes rondom mijn plasgaatje er zitten ook ongeveer 3 paarsige pukkeltjes rondom me plasgaatje wat kan dit zijn en wat moet ik doen groet 
107,hallo ik heb sinds vanmiddag ineens heel veel jeuk begon op mijn armen daarna benen nu overal zie geen uitslag
108,hallo zoals op deze foto te zien is heb ik last van steeds terugkerende rode bultjes op beide wijsvingers ik kan niet goed achterhalen hoe het komt en als ik eraan zit dan voel ik het prikken ik hoop dat u weet wat het is en wat ik eraan zou kunnen doen image jpg
109,hallo ik heb al een paar jaar last van echt stekende jeuk onder de huid op me bovenarmen dat komt paar keer per jaar dan terug ik blijft krabben tot bloeiends toe al keer bij de dokter geweest maar die zei dat ik me te vaak douchde maar het is zo erg die jeuk en die steken weten jullie misschien wat het kan zijn of wat ik eraan kan doen reageer dan alsjeblieft 
110,hallo ik heb sinds vanochtend las van jeukende handen vooral mijn linkerhand jeukt erg er zit een grote rode vlek op en verder zitter er nog allemaal kleine rode vlekjes op mijn hand wat kan dit zijn bij voorbaat dank 
111,heb dus een wit plekje aan het begin van men toompje je ziet dit niet als je er niet aankomt maar als je het velletje een beetje opzij duwt komt er een wit vlekje te voorschijn je ziet het alleen als je er rond een beetje op duwt weet iemand wat dit zou kunne zijn ikke155
112,ik heb al een best lange tijd bultjes op mijn arm ik kan hier niks over vinden op internet en weet dus ook niet wat het is het heeft verder geen lichamelijke klachten ik vind het alleen niet zo heel mooi 
113,heb wondjes op voet en hand en er zit een groene pit in wat heel erg stinkt kunt u mij vertellen wat dit is hoe je er aan komt en wat ik nu moet doen 
114,hee ik heb sinds een paar weken last van rare rode plekjes op mijn onderarmen het ziet eruit als een rood puntje met een witte vlek eromheen ik heb er nu 3 geteld en ik denk dat er een paar beginners aankomen weet iemand wat ik het beste kan doen ik hoor het graag alvast bedankt 
115,hee im hoop dat iemand mij verder kan helpen ik heb op de achterkant van mijn penis een bult pukkel zitten deze heeft geen afwijkende kleur van mijn huid geen witte punt er op en het doet al helemaal geen pijn ik denk zelf eerder dat het een ophopingkje is van vet of iets iemand die dit ook heeft of die er iets over weet te vertellen grts
116,heey iedereen ik heb sins afgelopen zaterdag last van jeuk aan mijn schaamlippen ook heb ik een beetje kruimelige afscheiding als ik lang heb gekrabt doet het super veel pijn en dat merk ik ook bij het plassen dan brand het helemaal alsjeblieft help me alvast heel erg bedankt 
117,ik heb al een tijdje een hele droge plek op me arm en het lijkt wel steeds groter te worden wat kan ik daar tegen doen 
118,het begon met een jeukende plek na het op staan het leek wel of ik door iets gestoken was inmiddels zijn er op meerder plekken op mijn lichaam buik rug been hals redelijk grote jeukende rode vlekken ontstaan wat kan ik hier aan doen 
119,hey ik ben 13 jarig 2de jaars en ik heb overal rode bulten op me lichaam ze komen maar gaan vanzelf weg maar volgende dag zijn ze erweer ze jeuken ontzettend en ze zijn ineens gekomen
120,hey vandaag heb ik een bultje ontdekt het is een wit bultje en zit tussen de vagina en de anus in het doet alleen pijn bij aanraking kan iemand mij misschien vertellen wat dit is 
121,hoi al ruim een week heb ik iets boven mijn knie een rode vlek met jeukende bultjes in voordien was dit eerst een blauwe plek daar ik ergens had tegengelopen maar die is weg gegaan en nu is het een rode vlek met hardjeukende bultjes ik ben 21 weken zwanger iemand enig idee wat dit kan zijn 
122,hoi sinds zaterdag heb ik allemaal van die kleine heel licht rode plekjes kleine bultjes op mijn buik en op mijn rug het zijn er meer geworden maar de er zit geen vocht in de bultjes ze jeuken niet en ze doen geen pijn iemand een idee wat het is 
123,hoi ik heb eigenlijk al altijd super veel pijn als ik mijn neus aanraak ik kan hierdoor ook geen brillen dragen ik ben vroeger toen ik klein was wel met m n neus op de verwarmingrand gevallen en daar heb ik een klein litteken is het een goed idee om iemand te laten kijken naar mijn neus 
124,hoi mijn huid rond mijn mond is bruiner dan de rest van me gezicht wat er echt totaal niet uitziet ik heb het al een aantal jaar maar ik zou niet weten wat het is iemand enig idee wat het is en of er iets tegen te doen is alvast bedankt edit ik ben een man van 21
125,hoi mijn zoontje van net 2 heeft over alleen zijn rug allemaal kleine rode vlekjes terwijl hij toch al diverse van zulke ziektes heeft gehad kan iemand zeggen wat dit kan zijn
126,hoi ik heb nu 4 dagen last van een puist achtig iets op me clitoris en er af en toe een heelklein btjje bloed uit een paar dagen daar voor heb ik met mijn vriend heel erg vaak sex gehad op 1 dag kan dit hier door komen 
127,huid rond moedervlek gezwollen hard en pijnlijk moet ik hier voor huisartsenpost bellen of gewoon wachten tot mijn eigen huisarts weer beschikbaar is dsc_0027 jpg
128,ik ben 15 en heb sinds een tijdje last van witte bultjes onder de rand van mijn eikel ze zijn eigenlijk ook alleen te zien als ik een erectie heb ze zijn niet pijnlijk en jeuken ook niet dus eigenlijk geen lastâ maar wil toch graag weten wat het is alvast bedankt foto0023 jpg
129,ik ben 17 en heb al een tijdje een raar soort bultje wat aanvoelt als een puist die komt maar hij doet pijn en wil maar niet weg na een paar maanden
130,ik ben 17 jaar en heb een vreemd bultje op mijn hoofdhuid het lijkt wel een soort moedervlek die open is verder is die ook best groot roodkleurig en bloed soms ik heb er soms ook pijn bij vooral als er bloed uitkomt wie weet wat ik moet doe 
131,ik ben 18 jaar en heb rode vlekjes die jeuken over mijn hele lichaam ze zijn op mijn borst streek begonnen en zakken naar beneden zitten nu ook bij schaamstreek en bovenbenen 
132,ik ben 69 vrouw ik hou vreselijk veel vocht vast in mijn benen plas weinig spreek traag vocht komt eruit via mijn huid verder een vreselijk rode huid wat kan dit zijn 
133,mijn tanden zijn geel
134,ik ben een vrouw van 40 en heb al zolang ik mij herinner een ingetrokken tepel aan een borst nu is dat sinds een halfjaar niet meer zo mooi natuurlijk maar er is blijkbaar iets veranderd vanbinnen is dit verontrustend en moet ik er iets mee of kan het geen kwaad 
135,ik ben in de zee gevallen en nu het ik heel veel jeuk en een verdikking naast me linker schouder wat heb ik precies 
136,ik denk dat ik clownseczeem periorale dermatitis heb laatste tijd geirriteerde rare bultjes onder mn ogen en rond mn mond en kin moet ik hiervoor naar de huisarts en wat wordt er het meest voorgeschreven hiertegen 
137,ik had een paar weken terug een plek op mijn benen ik dacht destijds een muggenbeet ondertussen wordt het steeds groter en begint het ook zeer pijn gaan doen wat kan dit zijn 
138,ik heb al anderhalve week ladt van kleine wondjes rond m n mond en op m n kin maar sind eergisteren is er een grote wond en staar er een gelige korst op wat moet ik hiermee image png
139,roodheid met bulten rond buik genitaliã n billen gezicht voeten nek
140,ik heb al een jaar groen vocht uit 1 tepel ik ben 20 jaar en heb geen kinderen en ben geen 2 jaar zwanger ik ben al 2 keer ervoor naar de huisarts geweest en heb een mammografie moeten maken daar zagen ze niks op ik wil weten wat het is en of ik het weg kan halen 
141,ik heb al een jaar lang last van een erg pijnlijke navel soms vochtig maar vaker rood en pijnlijk crã mes via huisarts helpen soms tijdelijk via dermatoloog plaatselijke antibiotica helpt ook tijdelijk nikkelallergie voor knoop van broek is het niet wie kan me helpen 
142,ik heb al een lange tijd witte bultjes op de balzak dit zijn er 3 ofzo maar tussen die drie zit 1 best wel grote nu heb ik gelezen at dit een talgklier is mijn vraag is hoe krijg ik deze weg ik heb dom genoeg al geprobeerd met een naaldje het weg te halen maar dat gaat niet alvast bedankt 
143,ik heb al een paard maanden een ontstoken talgklier de ene keer is die even rustig dan zet hij weer op en gaat ontsteken paar keer bij ha geweest die zegt dat het vanzelf overgaat kan ik iets doen als de talgklier weer ontstoken is 
144,ik heb al een tijd last van een roze bilnaad het lijkt erop alsof de huid in mijn bilnaad gespleten is het doet geen pijn ik merk er ook niks van alleen vind ik het er niet mooi uit zien mijn huidskleur is donker en mijn bilnaad is roze wat erg opvalt wat kan ik hier tegen doen 
145,ik heb al een tijdje last van allemaal kleine bultjes blaasjes op mijn handen en ik heb geen idee wat de oorzaak is misschien stress de bultjes jeuken niet wat kan dit zijn 
146,ik heb al een tijdje last van een gaatje diep in mijn bilspleet die bijna elke dag openspringt zodra ik zit ik voel dan wat nattigs en als ik ga kijken dan zit er bloed in mijn onderbroek wat kan dit zijn 
147,ik heb al een tijdje vaginale jeuk en ook een geurtje na het vrijen stinkt het erg kan iemand mij helpen 
148,ik heb al lange tijd jeuk aan mijn piemel en rond mijn lies men huis is inmiddels een beetje rood geworden en op mijn piemel zit een bultje kan iemand mij helpen wat is dit en wat kan ik er aan doen ik heb nog geen seks gehad alvast bedankt 
149,ik heb nog steeds pijn bij het litteken na mijn keizersnee het is nu 11 maanden geleden litteken is nog steeds rood dik en jeukt is dit normaal 
150,ik heb al lange tijd last van stressvlekken maar ik krijg ze ook soms als ik gewoon thuis druk bezig ben achter de laptop nou heb ik gelezen dat aerius de vlekken zou kunnen remmen is dit ook zo en zou je dit hiervoor kunnen gebruiken naast psychologische hulp bijv 
151,ik heb bijna 2 weken navelpiercing en is erg onstoken en ben nu ook ziek zou het daar door komen 
152,ik heb een zandvlo uit mijn huid verwijderd moet ik nog aanvullende maatregelen nemen 
153,ik heb een lichtroze schilferend plekje op m n borst en zou graag willen weten wat het is voor de rest is het een beetje ruw en als ik met m n vinger erover heen ga schilferd het een beetje alvast bedankt image jpg
154,ik heb een raare plek op mijn boven been het jeukt verschrikkelijk ik zouniet weten wat het is 
155,ik heb een rare rode plek op mijn arm het lijkt op een brandplek normaal zit op deze plek mijn horloge titanium dat ik al 8 jaar draag het jeukt niet en doet geen pijn de huid lijkt verschroeid en haren zijn weg 
156,ik heb een rode vlek op de bovenkant van mijn vagina aan de zijkant bij mijn lies en als ik het aanraak heb ik branderig gevoel en voelt koud en vochtig aan wat zou het kunne zijn
157,ik heb erg last van een jeukende schilferige zelfs met gelige korsten hoofdhuid wat kan dit zijn en wat kan ik hier tegen doen 
158,ik heb geschilderd en heb mijn arm schoon willen maken met terpentine en een schuurspons omdat ik druk was met wat anders maar nu heb ik mijn arm onder de bultjes welke zalf moet ik dan nu gebruiken
159,ik heb heel erg veel hoofdpijn licht in me hoofd heb rode uitslag op me armen en me ogen braden krijg ook steek rechts in me zij wat door trekt naar me borst img 20180204 wa0006 jpeg
160,ik heb kleine rode bultjes op bovenzijde hand geen jeuk
161,ik heb last van bult op mijn enkel weken geleden begon het als een hard pijnlijk onderhuids bultje maar werd snel groter en roder op een gegeven moment kwam er een gele kop op maar die verdween na een paar dagen nu is het paars en komen er velletjes vanaf 
162,ik heb nu al 5 dagen een lichte uitslag onder mijn beide oksels ik denk dat deze komt door de wrijving met mijn t shirt want ik heb vorige week een dag zware arbeid verricht de uitslag jeukt niet en doet geen pijn kan dit of is het iets anders 
163,ik heb nu al een week last van rode plekken die heel erg jeuken het lijkt net alsof ik geprikt ben door een brandnetel en het jeukt ongelofelijk wat moet ik doen 
164,ik heb op mijn armen en benen allemaal blauwe plekken niet zo groot en niet gevoelig of gestoten wat kan dit zijn 
165,ik heb op mijn armen en in mn nek rode bultjes die heel erg jeuken ook ben ik ligt verbrand
166,ik heb op mijn rechter wang helemaal vol met waarschijnlijk koortsblaasjes is dat besmettelijk of kan het kwaad 
167,ik heb op verschillende plekken op mijn lichaam uitslag en ik vroeg me af of iemand weet wat dit is
168,ik heb opeens rode vlekkerige uitslag in nek en bovenkant borst deze is gisteren ontstaan zitten ook kleine witte bultjes op heb niet geschoren ofzo wie herkent dit 
169,ik heb regelmatig last van rode geã rriteerde navel is pijnlijk een ruikt niet fris wat kan ik het beste doen om dit tegen tegaan
170,ik heb sinds 3 dagen vreemde bultjes aan de binnenkant van mijn enkel onderbeen er zit ook een bult onder de huid op die plek iemand een idee wat dit is en hoe ik er vanaf kom 
171,ik heb sinds 4 weken een doof gevoel aan linkerkant van mijn huid op mijn kin geen pijn en ook niet aan de binnenkant wat kan dat zijn mvg ans
172,ik heb sinds begin deze week aan de binnenkant van mijn lippen een irritatie het zijn bultjes en het voelt branderig aan war te doen 
173,ik heb sinds een jaar ongeveer horizontale ribbels in mijn teennagels ook zijn ze een beetje geel van kleur en laten ze een beetje los 
174,ik heb sinds een paar dagen een rode vlek op mijn buik eerst dacht ik dat het een moedervlek was maar nu komt er een soort van bultje op ik heb er geen jeuk of pijn aan moet ik er dan toch mee naar de dokter image jpg
175,ik heb sinds een paar dagen netelroos vlekken op mijn benen die ontzettend erg jeuken en sinds vandaag ook aan de diarree is dit een alergische reactie ergens op 
