;text
56;Linkeroog heb ik nu zwarte wolkachtig vlekken in mijn linkero
57;Mjn zoon heeft de laatste tijd last van knipperende ogen. Vooral in de avond uren. Hij zegt dat hij drogen ogen heeft.
58;Na het consumeren van (veel) suiker (Cola, appeltaart etc.) krijg ik vaak last van vermoeide en branderige ogen. Is hier een logische verklaring voor? En moet ik hier naar laten kijken? Klachten zijn begonnen ongeveer een half jaar geleden.
59;Nu reeds een aantal dagen last van floater aan rechteroog. Ik heb er meer last van wanneer ik in de zon sta en naar de blauwe lucht kijk bv. Kan ik hier iets tegen doen?
60;Ontsteking ogen met gele pus.
61;Oog rood en traant
62;Rode oog door een stukje gips. Hoe kan het behandelen?
63;Rood geÃ¯rriteerd oog heeft mijn baby van 7 maanden
64;Sinds 2 dagen is de geleelde dichtbij mijn neus van mijn oogwit blauw geworden aan allebei de ogen precies op de zelfde plek
65;Sinds twee dagen doet mijn linkeroog licht pijn, voornamelijk mijn traanbuis. Gisteren viel het nog mee en was deze een beetje rood en dik. Inmiddels heeft dit doorgezet en is ook bv het knipperen gevoelig geworden. Moet ik hier actie op ondernemen?
66;Wanneer ik mijn hoofd recht houd, maar ik kijk met mijn ogen zo fel naar opzij als ik kan heb ik steken boven mijn oogkassen in mijn hoofd en achter mijn oogkassen boven mijn oog. Hoe kan dit komen? en wat moet ik doen?
67;als ik mijn ogen inspan of op iets reflekteren,s tuur dan zie ik allemaal een soort van glasveseltjes dat gaat weer over als ik even rust neem wat kan dat zijn heb ik alleen bij lezen of knutselen verder niet
68;hallo ik heb ruim een jaar geleden een accute operatie voor netvliesloslating met bandje ondergaan nu heb ik het gevoel of er een vuiltje in mijn oog zit ik kan ook niet goed naar boven en naar rechts kijken dan word ik duizelig wie herken dit groetjes
69;hallo ik heb ruim een jaar geleden een accute operatie voor netvliesloslating met bandje ondergaan nu heb ik het gevoel of er een vuiltje in mijn oog zit ik kan ook niet goed naar boven en naar rechts kijken dan word ik duizelig wie herken dit groetjes Ik had een vonkje van een sigarett in me oog gekregen nu prikt het en voelt het net of er heletijd een beesje in me oog zit gaat dit vanzelf over of moet ik naar de dokter toe?
70;hallo, ik heb al een hele tijd last van troebelingen voor mijn oog,nu heb ik naar de oogarts geweest en die stelde een vitrectomie voor. hierbij verwijderen ze het glasvocht en plaatsen ze iets anders,water,olie of gas. ik weet niet wat ik zou moeten doen, heeft iemand hier ervaring mee?
71;ik ben een vrouw van 65 jaar en gisteren zag ik een poosje alles dubbel, ik gebruik geen medicijnen,
72;takje in het oog gehad
73;28 jaar, man. Ik heb sinds gisteren plekjes op mijn arm en het worden er steeds meer. Ook jeukt het. Wat kan het zijn? IMG 20180701 WA0005.jpg
74;Achter mij linker oor heb ik al ruim een week een grote blaas,bobbel. Het is zacht en het lijkt wel of er vocht in zit. Het is pijnlijk als ik er op wil slapen of als ik het aanraak. Heeft iemand een idee wat het kan zijn en hoe of waardoor dit ontstaat? Vast bedankt.
75;Achter mij linker oor heb ik al ruim een week een grote blaas,bobbel. Het is zacht en het lijkt wel of er vocht in zit. Het is pijnlijk als ik er op wil slapen of als ik het aanraak. Heeft iemand een idee wat het kan zijn en hoe of waardoor dit ontstaat? Vast bedankt. Ik heb op mijn armen en in mn nek rode bultjes die heel erg jeuken. Ook ben ik ligt verbrand
76;Beste persoon die dit leest, altijd na het sporten krijg ik ontzettend veel jeuk bovenop mij hoofd. Dit heb ik echt alleen als ik sport, door de dag verder geen last van jeuk. Iemand aub een oplossing het is erg vervelend en demotiveert mij om te gaan sporten. mvg, Joey.
77;Bruine vlekken op beide benen. Ben 78 jaar jong. Is dit een ouderdomsverschijnsel? Knipsel 1.JPG Knipsel.JPG
78;Dag, Ik vraag me al 2 dagen af wat die rode bultjes zijn onder mijn clitoris, ze doen pijn als je ze aanraakt en als ik plas. kan iemand me aub helpen! ik maak me echt zorgen
79;De laatste tijd zweet ik veel sneller en veel meer dan normaal. Terwijl ik nog steeds evenveel drink en eet als eerst. Ik eet niet hÃ©Ã©l gezond maar ook niet hÃ©Ã©l ongezond. Waar zou het mee te maken kunnen hebben?
80;Eczeem op de hand met daarop ontstekingen met kleine blaasjes en bruine korstjes. Bij dokter geweest maar ondanks gebruik Mometasonfuroaat nog niet verholpen.
81;Eeen schilferige, rode jeukende huid op oogleden en in het gezicht en de oren. Wat kan dit zijn ?
82;Extreme jeuk en branderigheid onder de voeten en binnenkant van de handen ook erg rood en warm gezicht hoe komt dit en wat kan ik er aan doen
83;Gister kreeg ik een pijnlijk plekje boven mij bovenlip en nu is mijn bovenlip opgezet. Ik weet niet goed wat het is of wat ik er tegen zou kunnen doen. marinda. 14 jaar
84;Goede avond! Sinds meer dan een maand heb ik hele zichtbare aders op mijn borsten, tepelhoven en liezen en volgens de testen ben ik niet zwanger. Ik neem de pil altijd heel correct. Die aders zijn er nu al meer dan een maand en ik wil er graag van afâ€¦ kan ik er iets aan doen?
85;Goedemorgen Ik heb een vraag.2 maanden geleden had ik pijn in mijn borst.dokter heeft rechter borst onderzocht. kon niks afwijkends vinden.nu heb ik al 2 of 3 dagen pijn in mijn rechter oksel.tuurlijk kan dit wel eens maar ben nu gelijk bang dat het borstkanker is. kan dit?
86;Goedenavond, Ik had sindq kort een klein donkerkleurig blaasje in mijn liesstreek (1 a 2mm groot). Nu is dit door de wrijving open gesprongen en kwam er een combinatie van vocht en bloed uit. Ik vermoed dat dit gewoon een onschuldige bloedblaar is maar ik ben hier niet helemaal zekee van.
87;Goedendag Ik heb last van een droge eikel en kleine scheurtjes in de voorhuid ze zijn niet diep maar voelt heel irriterent aan is er iets wat ik kan doen om het te verhelpen zo der daarvoor naar een dokter te moeten?
88;Goedendag, mijn dochter van 9 heeft al 1,5 jaar water wratjes op haar rug. Ze zijn niet open en veranderen niet. Wat is hier aan te doen?
89;Hallo Ik heb nu sinds weekje enorm gevoelige tepels Met lopen en liggen continu last Ik heb wel veel spanningen gehad enzo Ook heb ik borstimplantaten
90;Ik vermijd de tandarts.
91;Hallo Ik heb sinds 2 weken geleden uitslag op mijn arm en weet niet wat het is. Ik kan er geen foto bij plakken. Ik werk in een bakkerij maar het is op mijn vrije dag gekomen en het word op de vrije dag erger. Kunt u mij helpen? Met vriendelijke groet, marnix ten elsen
92;Hallo allemaal, Ik heb sinds kort last van jeuk aan m'n balkzak. Het is aan de linkeronderkant en soms jeukt het echt heel erg. Wat zou dit zijn?
93;Hallo ik ben 14 jaar en het lijkt erop alsof mijn moedervlek er af is gevallen of is verandert hij heeft nooit gebloed maar wel soms een beetje gejeukt is dit erg?
94;Hallo ik heb een paar dagen last van onderhuidse jeuk op me handen. Tussen mijn vingers en binnenkant van me hand. Waar het jeukt is het ook rood. Is er een crÃ¨me is ik kan gebruiken of moet ik zelf persoonlijk naar de huisarts gaan ?
95;Hallo, De laatste tijd heb ik steeds als ik val of iets anders gebeurt en er ontstaat een wond, dat de wond een blauwe plek word in plaats van wegtrekt, ik heb er nu al 3. Het is wat gevoeliger als normaal huid. Wat is er aan de hand? Mvg,
96;Hallo, Ik heb al een geruime tijd zo'n rood bobbeltje onder m'n hoofdhuid. Weet iemand wat dit is? Ik dacht eerst aan een vetbobbeltje, maar aangezien deze rood is, neem ik aan dat het iets anders is?
97;Hallo, Ik heb al ong. een week een paar bultjes op me been. dit is een cirkel en der omheen zitten dus bultjes. Het lijkt op een soort beet, maar ben niet gebeten. Het jeukt soms ook heelerg. Wat kan dit zijn?
98;Hallo, Ik heb een foto geupload van mijn probleem: Sinds vanochtend heb ik last van rode bultjes op mijn buik die af en toe jeuken. Ik heb een huisdier, dus kunnen het vlooienbeten zijn? Of is het toch iets anders? Groet, Mariska
99;Hallo, Ik heb sinds een paar dagen last van deze uitslag. Het zijn rode bultjes met een zwart puntje. Ze zitten in mij oksel en doen ook pijn
100;Hallo, Op mijn handen heb ik puntjes op de vingers. Sommige zn meer bultjes. Op mijn handpalm heb ik ook plek. Dit lijkt ook wel op een soort uitslag. Sommige kan ik wegdrukken en andere niet. Het is gevoelig/pijnlijk en jeukt en bij andere voel ik niks. Foto uploaden lukt niet.
101;Hallo, ik heb last van rimpelende nagels op mijn vingers. Nu blijkt dat ik een stof zou tekort komen maar diegene die mij dat vertelde weet niet wat het juist zou zijn. Kan iemand mij helpen? dank u
102;Hallo, Sinds kort heb ik onder de eikeldop, maar op de penishuid een witte substantie dat vastgekleeft zit aan de huid. Ik heb al olijfolie geprobeerd & het eraf spoelen onder de douche heeft ook geen succes. Als ik het eraf trek dan begint het te bloeden.Ik ben al besneden. Wie kan mij helpen?
103;Hallo, ik gebruik nu al n aantal maanden condilyne voor op mn genitale wratten.maar sinds vanmorge zijn er ook nog ns ee 3 tal blaasjes bij gekomen. Hoe kan dit?ik word hier echt gek van.
104;Hallo, ik heb al 10 jaar een tepelpiercing, maar sinds een paar maanden komt er troep uit en stinkt. Wat kan ik hieraan doen?
105;Hallo, ik heb al enige tijd last van wondjes en een soort schimmel (denk ik) tussen mijn tenen. Het jeukt erg en is voornamelijk vervelend. Wat kan ik hier aan doen? Zie de foto's. Bedankt!
106;Hallo, ik heb al lange tijd last van wittige plekjes rondom mijn plasgaatje! Er zitten ook ongeveer 3 paarsige pukkeltjes rondom me plasgaatje! Wat kan dit zijn en wat moet ik doen? Groet,
107;Hallo, ik heb sinds vanmiddag ineens heel veel jeuk. Begon op mijn armen, daarna benen, nu overal, zie geen uitslag
108;Hallo, zoals op deze foto te zien is heb ik last van steeds terugkerende rode bultjes op beide wijsvingers. Ik kan niet goed achterhalen hoe het komt en als ik eraan zit dan voel ik het prikken. Ik hoop dat u weet wat het is en wat ik eraan zou kunnen doen. image.jpg
109;Hallo. Ik heb al een paar jaar last van echt stekende jeuk onder de huid op me bovenarmen dat komt paar keer per jaar dan terug. ik blijft krabben tot bloeiends toe. Al keer bij de dokter geweest maar die zei dat ik me te vaak douchde Maar het is zo erg die jeuk en die steken. Weten jullie misschien wat het kan zijn of wat ik eraan kan doen? Reageer dan alsjeblieft!
110;Hallo. Ik heb sinds vanochtend las van jeukende handen. Vooral mijn linkerhand jeukt erg. Er zit een grote rode vlek op en verder zitter er nog allemaal kleine rode vlekjes op mijn hand. Wat kan dit zijn? Bij voorbaat dank!
111;Heb dus een wit plekje aan het begin van men toompje, je ziet dit niet als je er niet aankomt maar als je het velletje een beetje opzij duwt, komt er een wit vlekje te voorschijn. Je ziet het alleen als je er rond een beetje op duwt. Weet iemand wat dit zou kunne zijn? Ikke155
112;Ik heb al een best lange tijd bultjes op mijn arm, ik kan hier niks over vinden op internet en weet dus ook niet wat het is. Het heeft verder geen lichamelijke klachten ik vind het alleen niet zo heel mooi.
113;Heb wondjes op voet en hand en er zit een groene pit in wat heel erg stinkt. Kunt u mij vertellen wat dit is, hoe je er aan komt en wat ik nu moet doen?
114;Hee . Ik heb sinds een paar weken last van rare rode plekjes op mijn onderarmen. Het ziet eruit als een rood puntje met een witte vlek eromheen. Ik heb er nu 3 geteld en ik denk dat er een paar beginners aankomen. Weet iemand wat ik het beste kan doen? Ik hoor het graag. Alvast bedankt!
115;Hee, Im hoop dat iemand mij verder kan helpen! Ik heb op de achterkant van mijn penis een bult/pukkel zitten, deze heeft geen afwijkende kleur van mijn huid, geen witte punt er op en het doet al helemaal geen pijn! ik denk zelf eerder dat het een ophopingkje is van vet of iets. Iemand die dit ook heeft of die er iets over weet te vertellen? Grts
116;Heey iedereen! Ik heb sins afgelopen zaterdag last van jeuk aan mijn schaamlippen. Ook heb ik een beetje kruimelige afscheiding, als ik lang heb gekrabt doet het super veel pijn, en dat merk ik ook bij het plassen. Dan brand het helemaal. Alsjeblieft, help me! Alvast heel erg bedankt!
117;Ik heb al een tijdje een hele droge plek op me arm en het lijkt wel steeds groter te worden wat kan ik daar tegen doen?
118;Het begon met een jeukende plek na het op staan. Het leek wel of ik door iets gestoken was. Inmiddels zijn er op meerder plekken op mijn lichaam (buik, rug, been, hals) redelijk grote jeukende rode vlekken ontstaan. Wat kan ik hier aan doen.
119;Hey, Ik ben 13 jarig 2de jaars en Ik heb overal rode bulten op me lichaam ze komen maar gaan vanzelf weg maar volgende dag zijn ze erweer ze jeuken ontzettend en ze zijn ineens gekomen
120;Hey, Vandaag heb ik een bultje ontdekt. Het is een wit bultje en zit tussen de vagina en de anus in. Het doet alleen pijn bij aanraking. Kan iemand mij misschien vertellen wat dit is?
121;Hoi Al ruim een week heb ik iets boven mijn knie een rode vlek met jeukende bultjes in Voordien was dit eerst een blauwe plek daar ik ergens had tegengelopen Maar die is weg gegaan en nu is het een rode vlek met hardjeukende bultjes Ik ben 21 weken zwanger Iemand enig idee wat dit kan zijn?
122;Hoi Sinds zaterdag heb ik allemaal van die kleine heel licht rode plekjes ( kleine bultjes) op mijn buik en op mijn rug. HEt zijn er meer geworden. MAar de er zit geen vocht in de bultjes, ze jeuken niet en ze doen geen pijn. Iemand een idee wat het is?
123;Hoi, ik heb eigenlijk al altijd super veel pijn als ik mijn neus aanraak, ik kan hierdoor ook geen brillen dragen. Ik ben vroeger toen ik klein was wel met m'n neus op de verwarmingrand gevallen en daar heb ik een klein litteken. Is het een goed idee om iemand te laten kijken naar mijn neus?
124;Hoi, mijn huid rond mijn mond is bruiner dan de rest van me gezicht wat er echt totaal niet uitziet. Ik heb het al een aantal jaar maar ik zou niet weten wat het is. iemand enig idee wat het is en of er iets tegen te doen is? alvast bedankt! edit: Ik ben een man van 21
125;Hoi, mijn zoontje van net 2 heeft over alleen zijn rug allemaal kleine rode vlekjes, terwijl hij toch al diverse van zulke ziektes heeft gehad. Kan iemand zeggen wat dit kan zijn
126;Hoi. ik heb nu 4 dagen last van een puist achtig iets op me clitoris. en er af en toe een heelklein btjje bloed uit. een paar dagen daar voor heb ik met mijn vriend heel erg vaak sex gehad op 1 dag. kan dit hier door komen?
127;Huid rond moedervlek gezwollen hard en pijnlijk moet ik hier voor huisartsenpost bellen of gewoon wachten tot mijn eigen huisarts weer beschikbaar is? DSC_0027.JPG
128;Ik ben 15 en heb sinds een tijdje last van witte bultjes onder de rand van mijn eikel. Ze zijn eigenlijk ook alleen te zien als ik een erectie heb. Ze zijn niet pijnlijk en jeuken ook niet. Dus eigenlijk geen lastâ€¦.maar wil toch graag weten wat het is. Alvast bedankt. Foto0023.jpg
129;Ik ben 17 en heb al een tijdje een raar soort bultje wat aanvoelt als een puist die komt maar hij doet pijn en wil maar niet weg na een paar maanden
130;Ik ben 17 jaar en heb een vreemd bultje op mijn hoofdhuid het lijkt wel een soort moedervlek die open is, verder is die ook best groot, roodkleurig en bloed soms. Ik heb er soms ook pijn bij vooral als er bloed uitkomt. Wie weet wat ik moet doe?
131;Ik ben 18 jaar en heb rode vlekjes die jeuken over mijn hele lichaam. Ze zijn op mijn borst streek begonnen en zakken naar beneden zitten nu ook bij schaamstreek en bovenbenen.
132;Ik ben 69, vrouw. Ik hou vreselijk veel vocht vast in mijn benen, plas weinig, spreek traag, vocht komt eruit via mijn huid, verder een vreselijk rode huid.wat kan dit zijn?
133;Mijn tanden zijn geel
134;Ik ben een vrouw van 40 en heb al zolang ik mij herinner een ingetrokken tepel aan een borst. Nu is dat sinds een halfjaar niet meer zo. Mooi natuurlijk maar er is blijkbaar iets veranderd vanbinnen. Is dit verontrustend en moet ik er iets mee of kan het geen kwaad?
135;Ik ben in de zee gevallen en nu het ik heel veel jeuk en een verdikking naast me linker schouder wat heb ik precies.
136;Ik denk dat ik clownseczeem(Periorale dermatitis ) heb. Laatste tijd geirriteerde rare bultjes onder mn ogen en rond mn mond en kin. Moet ik hiervoor naar de huisarts en wat wordt er het meest voorgeschreven hiertegen?
137;Ik had een paar weken terug een plek op mijn benen, ik dacht destijds een muggenbeet. Ondertussen wordt het steeds groter en begint het ook zeer pijn gaan doen. Wat kan dit zijn?
138;Ik heb al anderhalve week ladt van kleine wondjes rond m'n mond en op m'n kin maar sind eergisteren is er een grote wond en staar er een gelige korst op wat moet ik hiermee? image.png
139;Roodheid met bulten rond buik genitaliÃ«n, billen, gezicht, voeten, nek
140;Ik heb al een jaar groen vocht uit 1 tepel. Ik ben 20 jaar en heb geen kinderen en ben geen 2 jaar zwanger. Ik ben al 2 keer ervoor naar de huisarts geweest en heb een mammografie moeten maken. Daar zagen ze niks op. Ik wil weten wat het is en of ik het weg kan halen?
141;Ik heb al een jaar lang last van een erg pijnlijke navel, soms vochtig, maar vaker rood en pijnlijk. CrÃ¨mes via huisarts helpen soms tijdelijk. Via dermatoloog plaatselijke antibiotica helpt ook tijdelijk. Nikkelallergie voor knoop van broek is het niet. Wie kan me helpen?
142;Ik heb al een lange tijd witte bultjes op de balzak. Dit zijn er 3 ofzo. Maar tussen die drie zit 1 best wel grote. Nu heb ik gelezen at dit een talgklier is. MIjn vraag is hoe krijg ik deze weg? Ik heb dom genoeg al geprobeerd met een naaldje het weg te halen maar dat gaat niet. Alvast bedankt!
143;Ik heb al een paard maanden een ontstoken talgklier. De ene keer is die even rustig, dan zet hij weer op en gaat ontsteken. Paar keer bij HA geweest, die zegt dat het vanzelf overgaat. Kan ik iets doen als de talgklier weer ontstoken is?
144;Ik heb al een tijd last van een roze bilnaad. Het lijkt erop alsof de huid in mijn bilnaad gespleten is. Het doet geen pijn. Ik merk er ook niks van. Alleen vind ik het er niet mooi uit zien. Mijn huidskleur is donker en mijn bilnaad is roze wat erg opvalt. Wat kan ik hier tegen doen?
145;Ik heb al een tijdje last van allemaal kleine bultjes/blaasjes op mijn handen en ik heb geen idee wat de oorzaak is. Misschien stress? De bultjes jeuken niet. Wat kan dit zijn?
146;Ik heb al een tijdje last van een gaatje diep in mijn bilspleet die bijna elke dag openspringt zodra ik zit. Ik voel dan wat nattigs en als ik ga kijken dan zit er bloed in mijn onderbroek. Wat kan dit zijn?
147;Ik heb al een tijdje vaginale jeuk. En ook een geurtje. Na het vrijen stinkt het erg. Kan iemand mij helpen?
148;Ik heb al lange tijd jeuk aan mijn piemel en rond mijn lies. Men huis is inmiddels een beetje rood geworden, en op mijn piemel zit een bultje. Kan iemand mij helpen? Wat is dit? en wat kan ik er aan doen? Ik heb nog geen seks gehad. Alvast bedankt.
149;Ik heb nog steeds pijn bij het litteken na mijn keizersnee, het is nu 11 maanden geleden. Litteken is nog steeds rood, dik en jeukt. Is dit normaal?
150;Ik heb al lange tijd last van stressvlekken, maar Ik krijg ze ook soms als ik gewoon thuis druk bezig ben achter de laptop. Nou heb ik gelezen dat AERIUS de vlekken zou kunnen remmen, is dit ook zo? En zou je dit hiervoor kunnen gebruiken naast psychologische hulp bijv.
151;Ik heb bijna 2 weken navelpiercing en is erg onstoken en ben nu ook ziek zou het daar door komen?
152;Ik heb een Zandvlo uit mijn huid verwijderd, moet ik nog aanvullende maatregelen nemen?
153;Ik heb een lichtroze schilferend plekje op m'n borst en zou graag willen weten wat het is. Voor de rest is het een beetje ruw en als ik met m'n vinger erover heen ga schilferd het een beetje. Alvast bedankt! image.jpg
154;Ik heb een raare plek op mijn boven been het jeukt verschrikkelijk ik zouniet weten wat het is.
155;Ik heb een rare rode plek op mijn arm. Het lijkt op een brandplek. Normaal zit op deze plek mijn horloge (titanium dat ik al 8 jaar draag). Het jeukt niet en doet geen pijn. De huid lijkt verschroeid en haren zijn weg.
156;Ik heb een rode vlek op de bovenkant van mijn vagina aan de zijkant bij mijn lies en als ik het aanraak heb ik branderig gevoel en voelt koud en vochtig aan wat zou het kunne zijn
157;Ik heb erg last van een jeukende, schilferige (zelfs met gelige korsten) hoofdhuid. Wat kan dit zijn en wat kan ik hier tegen doen?
158;Ik heb geschilderd en heb mijn arm schoon willen maken met terpentine en een schuurspons omdat ik druk was met wat anders, maar nu heb ik mijn arm onder de bultjes, welke zalf moet ik dan nu gebruiken
159;Ik heb heel erg veel hoofdpijn licht in me hoofd heb rode uitslag op me armen en me ogen braden krijg ook steek rechts in me zij wat door trekt naar me borst IMG 20180204 WA0006.jpeg
160;Ik heb kleine rode bultjes op bovenzijde hand, geen jeuk
161;Ik heb last van bult op mijn enkel. weken geleden begon het als een hard, pijnlijk, onderhuids bultje maar werd snel groter en roder. op een gegeven moment kwam er een gele kop op, maar die verdween na een paar dagen. nu is het paars, en komen er velletjes vanaf.
